City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-03-02 20:12:23,-46.19,168.86,55.99,90,100,11.99
1,Namwala,ZM,2020-03-02 20:12:23,-15.75,26.44,65.73,97,46,5.84
2,Constitucion,CL,2020-03-02 20:12:23,-35.33,-72.42,62.29,75,67,6.55
3,Tasiilaq,GL,2020-03-02 20:12:24,65.61,-37.64,30.2,74,97,20.8
4,Hilo,US,2020-03-02 20:10:36,19.73,-155.09,77.0,65,1,3.36
5,Ushuaia,AR,2020-03-02 20:11:20,-54.8,-68.3,59.0,50,40,4.7
6,Asau,RO,2020-03-02 20:12:24,46.43,26.4,51.8,57,79,12.75
7,Chuy,UY,2020-03-02 20:12:24,-33.7,-53.46,75.13,63,13,14.16
8,Nikolskoye,RU,2020-03-02 20:12:25,59.7,30.79,34.0,86,20,4.47
9,Gizo,SB,2020-03-02 20:12:25,-8.1,156.84,80.08,81,0,0.69
10,Rawlins,US,2020-03-02 20:08:49,41.79,-107.24,28.4,79,75,21.92
11,Kaeo,NZ,2020-03-02 20:12:25,-35.1,173.78,73.0,100,90,8.95
12,Arraial Do Cabo,BR,2020-03-02 20:12:25,-22.97,-42.03,71.6,94,90,9.17
13,Busselton,AU,2020-03-02 20:12:26,-33.65,115.33,59.0,47,0,15.43
14,Punta Arenas,CL,2020-03-02 20:12:26,-53.15,-70.92,62.6,63,75,25.28
15,Nikolskoye,RU,2020-03-02 20:12:26,59.7,30.79,34.0,86,20,4.47
16,Pevek,RU,2020-03-02 20:12:27,69.7,170.31,-7.89,98,100,9.37
17,Buin,CL,2020-03-02 20:12:27,-33.73,-70.75,86.0,33,0,9.17
18,Dikson,RU,2020-03-02 20:12:27,73.51,80.55,1.89,99,98,9.78
19,Hobart,AU,2020-03-02 20:12:27,-42.88,147.33,55.4,54,75,8.05
20,Mount Isa,AU,2020-03-02 20:12:27,-20.73,139.5,78.8,74,40,4.7
21,Bluff,NZ,2020-03-02 20:12:27,-46.6,168.33,55.99,90,100,11.99
22,Neyyattinkara,IN,2020-03-02 20:12:28,8.4,77.08,82.4,78,20,4.7
23,Saskylakh,RU,2020-03-02 20:12:28,71.92,114.08,13.35,84,100,13.33
24,Dubbo,AU,2020-03-02 20:12:04,-32.25,148.62,71.6,73,90,13.87
25,Coahuayana,MX,2020-03-02 20:12:28,18.73,-103.68,84.2,51,5,5.82
26,San Cristobal,VE,2020-03-02 20:12:29,7.77,-72.22,91.4,46,40,11.41
27,Whyalla,AU,2020-03-02 20:12:29,-33.03,137.58,64.4,63,90,12.75
28,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
29,Anshun,CN,2020-03-02 20:12:29,26.25,105.93,50.16,92,100,5.99
30,Avera,US,2020-03-02 20:12:30,33.19,-82.53,69.8,82,90,3.36
31,Albany,US,2020-03-02 20:10:25,42.6,-73.97,59.0,32,40,18.34
32,Dikson,RU,2020-03-02 20:12:27,73.51,80.55,1.89,99,98,9.78
33,Upernavik,GL,2020-03-02 20:12:30,72.79,-56.15,-25.78,84,0,7.52
34,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
35,Santa Lucia,ES,2020-03-02 20:12:30,27.91,-15.54,66.2,82,40,20.8
36,Bonfim,BR,2020-03-02 20:12:31,3.08,-59.95,97.66,30,69,8.59
37,Fairbanks,US,2020-03-02 20:10:20,64.84,-147.72,-0.99,76,75,5.82
38,Thompson,CA,2020-03-02 20:07:32,55.74,-97.86,15.8,66,75,4.7
39,Nikolskoye,RU,2020-03-02 20:12:26,59.7,30.79,34.0,86,20,4.47
40,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
41,Bulungu,CD,2020-03-02 20:12:32,-4.55,18.6,72.81,93,90,5.79
42,Avarua,CK,2020-03-02 20:12:32,-21.21,-159.78,82.4,88,0,4.7
43,Busselton,AU,2020-03-02 20:12:26,-33.65,115.33,59.0,47,0,15.43
44,Luganville,VU,2020-03-02 20:12:33,-15.53,167.17,78.8,100,75,2.24
45,Qaanaaq,GL,2020-03-02 20:12:33,77.48,-69.36,-20.43,55,28,5.41
46,Saint-Philippe,RE,2020-03-02 20:12:33,-21.36,55.77,80.6,94,96,13.87
47,Castro,BR,2020-03-02 20:11:26,-24.79,-50.01,63.09,94,89,6.62
48,Varnamo,SE,2020-03-02 20:12:34,57.19,14.04,35.6,100,75,4.54
49,San Cristobal,VE,2020-03-02 20:12:29,7.77,-72.22,91.4,46,40,11.41
50,Karanpura,IN,2020-03-02 20:12:34,29.1,75.09,67.01,41,0,9.48
